SMILES,Y_Label
CC1CCCCN1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1,0
CC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,0
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,0
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCCC1)C1=CC=CC=C1,0
CNC(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,0
CC(=O)NC1C(NCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(NCCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(NC2=NCCN2)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(NC(=N)NCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(NC(=N)NCCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(OC(=CC1N(CCCN)C(N)=N)C(O)=O)C(O)C(O)CO,0
CC(=O)NC1C(OC(=CC1N(CCCCN)C(N)=N)C(O)=O)C(O)C(O)CO,0
CCC(CC)NC1=C(C=CC(=C1)C(O)=O)N1CCCC1=O,0
NC(=N)NC1=CC(=CC=C1N1CCCC1=O)C(O)=O,0
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)C1,0
OCCN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,0
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,0
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,0
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,0
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCOCC1)C1=CC=CC=C1,0
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,0
CC1COCC(C)N1CC1=C2OC(=CC(=O)C2=C(O)C(O)=C1O)C1=CC=CC=C1,0
OCC1(CO)CCC(=O)N1C1=CC=C(C=C1)C(O)=O,0
NCC1CCC(=O)N1C1=C(C=C(C=C1)C(O)=O)N=C(N)N,0
NC(=N)NC1CCC(O)(C1)C(O)=O,0
NC1CCC(O)(C1)C(O)=O,0
CCC(CCC1=CC=CC=C1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCC(C)OC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
