DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB04908,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,390.402,5,4,3,1,3.32,38.82
DB04920,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,456.316,10,2,4,1,4.98,90.93
DB04938,OCCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,378.891,8,3,2,1,5.7,29.46
DB04946,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,426.481,8,4,5,0,4.26,64.8
DB04948,CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,259.132,3,2,3,1,3.31,33.62
DB04951,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,185.222,1,2,1,0,2,20.31
DB04953,CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1,303.331,6,2,4,3,3.07,76.38
DB05013,[H][C@@]12C[C@@H](C)[C@]34C=C(C)[C@H](OC(=O)C(\C)=C/C)[C@@]3(O)[C@H](O)C(CO)=C[C@@]([H])(C4=O)[C@]1([H])C2(C)C,430.541,4,4,5,3,2.49,104.06
DB05015,ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1,318.35,4,2,4,3,1.83,95.5
DB05016,OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F,284.242,3,3,4,1,2.96,76.22
DB05039,CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1,392.491,6,4,4,4,3.31,81.59
DB05154,[O-][N+](=O)C1=CN2C[C@@H](COC2=N1)OCC1=CC=C(OC(F)(F)F)C=C1,359.257,6,3,6,0,2.8,91.33
DB05219,OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2,251.05,2,3,3,1,2.6,62.48
DB05245,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1,357.137,2,2,6,1,0.19,95.17
DB05246,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,203.237,1,2,2,0,1.46,37.38
DB05271,CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1,315.48,6,3,2,1,5.01,23.47
DB05294,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,475.354,6,4,6,1,5.01,59.51
DB05316,CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,427.564,8,3,3,1,4.19,44.81
DB05351,CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=CC=C2N1,369.36,6,3,4,1,2.84,67.87
DB05541,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,212.289,5,1,2,1,0.86,63.4
DB05676,[H][C@](CS(C)(=O)=O)(N1C(=O)C2=C(C1=O)C(=CC=C2)N=C(C)O)C1=CC(OCC)=C(OC)C=C1,460.5,8,3,8,1,1.79,122.57
