MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT,SMILES
412.48,5,4,8,4,1.826,117.61,0,0.0031897907610982656
367.43,3,4,6,3,2.108,94.14,0,0.0013739699497818947
382.45,3,4,7,3,2.365,97.38,0,0.0019092134898528457
366.45,3,4,6,2,2.633,77.15,0,0.059947650879621506
353.4,3,4,6,2,2.363,83.14,0,0.001407243893481791
397.46,4,4,7,4,2.419,114.37,0,0.0017207838827744126
397.46,3,4,7,3,2.851,103.37,0,0.0025006509386003017
265.29,4,2,6,3,-0.178,98.07,0,0.001742446213029325
291.35,4,2,8,7,-0.882,148.03,0,0.0024410285986959934
187.23,3,1,6,6,-1.051,119.43,0,0.0019225459545850754
145.18,1,1,4,4,-1.081,83.55,0,0.0022141900844872
360.5,8,2,6,4,1.934,101.65,1,0.9987227320671082
312.42,7,1,8,6,-0.049,137.53,1,0.9981897473335266
326.45,8,1,8,6,0.475,137.53,1,0.9986207485198975
312.47,8,1,7,6,0.907,128.3,1,0.9985774755477905
296.41,7,1,6,4,0.511,101.65,1,0.9987743496894836
354.55,11,1,6,4,2.727,101.65,1,0.9985070824623108
366.56,8,2,6,4,2.607,101.65,1,0.998336911201477
298.39,7,1,8,6,-0.426,137.53,1,0.9986358284950256
465.6,9,3,8,4,1.863,121.96,1,0.9959037899971008
302.39,6,1,7,4,0.356,101.65,1,0.9985393285751343
312.42,8,1,8,6,0.03,137.53,1,0.9985122084617615
405.5,8,2,9,5,0.077,142.19,1,0.9978961944580078
312.42,7,1,8,5,-0.22,126.04,1,0.9983510971069336
431.55,10,2,10,6,0.374,157.84,1,0.9987345337867737
419.53,9,2,9,4,0.328,131.19,1,0.9985182881355286
458.38,8,2,8,4,1.673,121.96,1,0.9974274039268494
297.45,6,1,6,4,0.715,95.66,1,0.9983744621276855
325.41,3,2,8,4,-1.217,121.96,1,0.9966703057289124
453.66,15,1,10,6,2.079,157.84,1,0.9984232187271118
325.46,4,2,7,5,-0.196,115.89,1,0.9969749450683594
419.53,9,2,9,4,0.328,131.19,1,0.9932699799537659
389.5,7,2,8,4,0.198,121.96,1,0.9978845715522766
416.49,9,2,10,4,-1.63,170.72,1,0.9940109848976135
270.37,5,1,6,4,-0.078,101.65,1,0.9977638721466064
419.53,9,2,9,4,0.328,131.19,1,0.9986039996147156
405.5,8,2,9,5,0.077,142.19,1,0.7258679866790771
297.45,7,1,6,4,0.687,95.66,1,0.998582124710083
391.47,8,2,9,5,-1.067,142.19,1,0.9971659779548645
431.59,9,2,8,4,1.539,121.96,1,0.9982988238334656
341.47,8,1,9,6,-1.021,148.61,1,0.9974014759063721
352.53,7,2,6,4,2.151,101.65,1,0.9983476400375366
403.53,9,2,8,4,0.801,121.96,1,0.9973368048667908
281.4,3,2,6,4,-0.141,95.66,1,0.9985004663467407
309.46,3,2,6,4,0.771,95.66,1,0.9982403516769409
300.4,7,1,7,5,-0.904,121.88,1,0.9977089166641235
307.44,3,3,6,4,0.377,95.66,1,0.9965948462486267
295.43,3,2,6,4,0.315,95.66,1,0.9980706572532654
323.39,7,1,8,4,-1.199,121.96,1,0.9937132000923157
355.45,6,2,10,6,-2.031,157.84,1,0.9973037242889404
323.49,5,2,6,4,1.023,95.66,1,0.9981901049613953
387.48,7,3,8,4,-0.038,121.96,1,0.9933105707168579
295.43,3,2,6,4,0.111,95.66,1,0.9983003735542297
309.46,4,2,6,4,0.567,95.66,1,0.9983003735542297
369.53,10,1,9,6,0.027,148.61,1,0.998565137386322
269.39,5,1,6,4,-0.186,95.66,1,0.9983546137809753
323.49,3,2,6,4,1.228,95.66,1,0.9982403516769409
355.5,9,1,9,7,-0.151,157.4,1,0.4592326581478119
297.45,7,1,6,4,0.619,95.66,1,0.9987523555755615
408.54,8,3,6,4,2.551,101.65,1,0.995070219039917
283.42,6,1,6,4,0.163,95.66,1,0.9988043308258057
256.3,4,1,8,7,-1.707,148.53,1,0.9964560866355896
331.46,6,2,6,4,0.846,95.66,1,0.996712327003479
355.5,9,1,9,6,-0.497,148.61,1,0.9982916712760925
340.44,7,1,10,6,-0.261,160.97,1,0.9979841709136963
283.37,7,1,7,4,-0.232,111.51,1,0.9976440072059631
