DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB12667,180.27,3,1,2,2,2.38,36.74,
DB12710,339.5,4,4,3,0,4.19,9.72,
DB12728,273.464,5,2,1,0,6.32,3.24,
DB12789,354.487,12,1,5,4,3.11,97.99,
DB12792,343.207,3,3,2,1,4.91,41.99,
DB12834,185.183,3,1,4,1,0.25,83.87,
DB12867,381.451,6,4,4,1,3.6,58.36,
DB12911,223.272,8,1,3,0,1.99,48.42,
DB12924,363.417,4,4,6,2,2.76,82.53,
DB12938,359.32,5,3,4,0,2.75,77.24,
DB12941,398.85,6,3,5,3,3,119.62,
DB12945,190.21,0,2,6,4,-0.16,100.82,
DB12952,372.461,2,4,5,2,2.24,91.67,
DB12954,302.29,4,3,6,2,0.17,101.38,
DB12978,417.82,6,4,4,2,4.64,66.49,
DB13063,248.317,0,3,2,0,3.03,38.83,
DB13114,293.41,3,3,1,0,1.79,26.88,
DB13136,240.233,1,3,2,0,3.09,34.14,
DB13139,239.311,5,1,4,4,0.44,72.72,
DB13153,222.372,4,1,1,1,4.76,20.23,
DB13157,330.41,14,0,4,0,4.49,83.5,
DB13158,408.89,2,4,4,1,2.88,71.44,
DB13163,190.283,1,1,2,2,1.85,40.46,
DB13166,429.55,8,3,4,1,3.64,74.68,
DB13167,226.66,5,1,3,1,3.01,46.53,
DB13211,207.233,2,2,5,3,0.1,80.36,
DB13213,409.59,7,4,4,0,4.34,26.79,
DB13216,245.326,6,2,3,0,2.7,42.16,
DB13219,257.333,6,2,3,0,3.05,21.7,
DB13221,184.239,4,0,2,2,0.83,72.19,
DB13222,238.084,0,2,2,1,3.11,33.12,
DB13225,295.386,3,3,3,0,2.33,26.79,
DB13228,239.26,1,2,3,0,1.13,37.38,
DB13245,240.433,3,0,0,0,2.18,6.48,
DB13246,304.437,1,5,2,0,4.49,6.48,
DB13247,269.389,7,1,3,1,1.17,52.65,
DB13248,403.43,5,3,6,3,2.22,125.46,
DB13253,226.232,4,1,4,3,-0.13,95.5,
DB13256,343.87,0,4,3,0,4.1,18.84,
DB13258,427.28,10,2,4,0,4.4,81.91,
DB13262,169.224,2,2,2,0,0.9,29.54,
DB13267,286.33,9,0,6,3,0.02,111.9,
DB13268,275.09,2,1,5,4,-0.15,106.86,
DB13273,354.47,7,2,5,1,1.65,75.71,
DB13278,223.272,5,1,3,2,1.39,58.56,
DB13279,361.438,10,2,4,0,3.55,65.07,
DB13282,304.541,13,1,0,0,2.79,0,
DB13284,275.34,1,2,4,1,0.2,94.3,
DB13286,326.396,8,2,4,2,2.95,69.64,
DB13288,280.412,6,3,3,1,2.43,41.57,
DB13292,293.43,0,4,1,0,4.88,3.24,
DB13306,228.07,0,2,2,1,3.82,33.12,
DB13337,364.42,5,3,5,2,2.22,95.94,
DB13346,223.272,6,1,3,2,2.09,58.56,
DB13501,282.299,5,3,4,1,2.89,64.35,
DB13520,403.526,5,5,2,1,,46.5,
DB13532,379.87,3,3,5,3,1.88,118.36,
DB13583,182.219,4,1,3,2,0.96,49.69,
DB13624,179.259,4,1,2,1,2.13,21.26,
DB13628,166.174,3,1,2,1,2.76,46.53,
DB13657,313.309,6,2,3,1,2.62,81.7,
DB13680,215.212,1,2,3,2,1.2,84.55,
DB13720,278.418,2,3,0,0,-0.4,0,
DB13783,415.83,7,3,5,1,3.71,94.83,
DB13801,272.13,2,2,3,1,1.63,58.69,
DB13851,312.406,2,4,5,0,3.52,46.15,
DB13853,240.35,2,2,1,0,3.58,9.23,
DB13858,293.43,7,2,4,0,3.57,28.6,
DB13867,444.51,3,4,4,2,2.69,74.6,
DB13872,335.185,1,3,3,1,2.92,52.9,
DB13873,318.75,5,2,4,1,3.97,63.6,
DB13874,473.383,8,3,8,3,4.25,108.74,
DB13908,178.275,4,1,1,1,4.33,20.23,
DB13952,314.419,2,4,2,1,3.91,46.53,
DB13970,270.524,14,0,0,0,2.78,0,
DB14006,241.287,3,1,3,1,-0.5,60.36,
DB14018,259.063,0,2,3,1,0.23,69.3,
DB14020,212.244,3,2,2,1,2.64,37.3,
DB14033,309.34,2,2,5,1,1.02,106.5,
DB14083,340.413,8,4,4,0,4.67,43.52,
DB14084,194.227,5,1,2,1,3.81,46.53,
DB14086,290.268,1,3,6,5,1.02,110.38,
DB14120,214.264,2,2,2,2,3.02,40.46,
DB14174,320.55,3,2,0,0,3.78,6.48,
DB14175,202.292,6,1,1,0,3.93,17.07,
DB14176,228.247,4,2,2,1,3.66,46.53,
DB14177,180.201,4,1,2,1,3.28,46.53,
DB14178,208.36,2,0,0,0,1.32,6.48,
DB14187,172.265,6,0,2,1,2.5,37.3,
DB14188,164.204,2,1,2,1,2.79,29.46,
DB14191,211.268,2,2,3,3,2.67,47.91,
DB14193,365.94,4,2,2,4,2.52,6.48,
DB14195,226.323,4,2,2,2,4.22,24.06,
DB14196,266.388,4,3,2,2,5.76,24.06,
DB14200,264.41,3,3,2,1,3.98,24.92,
DB14202,252.35,2,3,3,0,2.43,25.36,
DB14203,335.38,7,2,7,1,3.63,106.9,
DB14529,418.305,3,3,3,0,2.08,53.02,
DB14539,404.497,4,4,5,2,2.31,100.9,
DB14540,432.557,6,4,5,2,3.21,100.9,
DB14542,442.445,4,4,7,4,0.99,141.36,
DB14544,446.576,7,4,5,2,3.62,100.9,
DB14545,462.539,7,4,7,3,2.17,138.2,
DB14569,370.344,4,4,7,1,0.95,106.26,
DB14575,254.284,0,3,2,2,1.26,66.56,
DB14583,370.489,3,4,3,0,2.52,60.44,
DB00873,394.889,3,4,4,2,2.2,83.83,
DB14627,401.418,6,4,3,1,4.19,81.7,
DB14631,440.429,4,4,7,4,0.92,141.36,
DB14638,328.147,5,2,2,0,3.33,59.75,
DB14643,472.578,7,4,5,1,2.92,106.97,
DB14644,474.55,7,4,7,3,2.43,138.2,
DB14646,400.471,4,4,5,1,2.25,97.74,
DB14649,434.498,4,4,5,2,2.6,100.9,
DB14650,334.156,4,2,6,4,0.84,133.52,
DB14655,360.538,3,4,2,0,4.76,43.37,
DB14656,245.66,6,1,3,2,0.96,81.78,
DB14657,434.504,4,4,5,2,1.98,100.9,
DB14669,472.446,4,4,7,4,1.21,141.36,
DB14677,414.586,7,4,3,0,4.46,60.44,
DB14723,428.444,3,5,5,2,2.07,86,
DB14753,280.331,4,2,5,5,1.44,119.97,
DB14754,194.234,5,1,2,2,0.62,78.34,
DB14763,251.715,1,2,5,2,1.06,80,
DB14783,255.226,7,1,4,0,-0.08,89.98,
DB14975,337.379,6,3,5,1,3.02,77.24,
DB15091,380.375,4,4,3,2,2.57,78.32,
DB15465,403.478,4,6,4,0,,48,
DB15467,250.294,8,1,3,0,2.87,44.76,
DB15477,418.398,3,4,9,7,-0.49,167.91,
DB15534,385.416,4,3,6,2,0.98,94.09,
DB15566,402.481,4,4,5,2,2.17,100.9,
DB15576,166.174,3,1,2,1,2.76,46.53,
