DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB00649,224.213,2,2,4,2,-0.73,78.87,
DB00652,285.424,2,3,2,1,4.44,23.47,
DB00655,270.366,0,4,2,1,4.03,37.3,
DB00656,371.864,5,4,4,0,2.68,42.39,
DB00657,167.291,1,2,1,1,3.13,12.03,
DB00660,221.252,3,2,2,1,1.63,47.56,
DB00662,388.457,10,2,6,1,2.44,69.26,
DB00663,410.458,2,4,5,3,1.91,94.83,
DB00664,280.303,3,2,6,2,0.41,107.2,
DB00665,317.221,3,2,4,1,1.74,95.23,
DB00669,295.4,5,2,3,2,1.17,65.2,
DB00670,351.402,2,4,5,1,1.26,68.78,
DB00672,276.74,3,1,3,2,2.15,75.27,
DB00674,287.353,1,4,4,1,1.39,41.93,
DB00676,212.244,4,2,1,0,3.43,26.3,
DB00677,184.146,4,0,1,0,1.1,35.53,
DB00679,370.575,4,4,2,0,5.93,6.48,
DB00680,427.517,6,4,5,1,3.04,71.11,
DB00682,308.328,4,3,3,1,2.41,63.6,
DB00683,325.767,1,4,2,0,3.89,30.18,
DB00685,416.36,3,5,7,2,0.86,99.76,
DB00687,380.45,2,4,5,3,1.35,94.83,
DB00688,433.495,10,3,6,1,2.17,94.53,
DB00690,387.878,6,3,3,0,3.81,35.91,
DB00692,281.352,4,3,4,2,2.91,47.86,
DB00693,332.306,0,5,3,2,2.64,75.99,
DB00695,330.744,5,2,5,3,2.71,122.63,
DB00697,253.711,1,3,5,2,1.6,62.2,
DB00698,238.159,3,2,5,1,0.03,118.05,
DB00700,414.491,2,6,4,0,1.67,82.2,
DB00704,341.401,2,6,5,2,2.07,70,
DB00705,456.561,5,4,6,3,2.77,110.43,
DB00706,408.512,11,2,6,2,3.05,99.88,
DB00708,386.551,8,3,3,0,3.4,32.78,
DB00711,199.293,2,1,2,0,0.9,26.79,
DB00712,244.261,3,2,2,1,3.57,37.3,
DB00713,401.436,4,4,5,2,2.05,112.74,
DB00714,267.322,0,4,3,2,2.51,43.7,
DB00715,329.365,4,4,4,1,3.1,39.72,
DB00716,371.341,5,3,8,2,2.18,121.21,
DB00717,298.419,0,4,2,1,2.72,37.3,
DB00719,290.402,0,4,2,0,3.67,16.13,
DB00721,236.31,7,1,3,1,2.1,55.56,
DB00723,211.258,4,1,4,2,0.41,64.71,
DB00724,240.304,2,3,3,1,2.83,56.73,
DB00726,294.434,4,3,2,0,4.67,6.48,
DB00730,201.248,1,3,2,1,2.47,41.57,
DB00731,317.429,6,2,3,2,3.59,66.4,
DB00734,410.485,4,5,4,0,3.27,61.94,
DB00735,287.398,5,3,1,0,4.96,3.24,
DB00736,345.416,5,3,5,1,1.66,77.1,
DB00738,340.42,10,2,6,4,1.32,118.2,
DB00740,234.198,2,2,3,1,2.83,48.14,
DB00741,362.46,2,4,5,3,1.79,94.83,
DB00744,236.29,2,2,2,2,2.01,66.56,
DB00745,273.35,5,2,2,1,1.75,60.16,
DB00747,303.353,5,4,4,1,1.4,62.3,
DB00748,290.788,6,2,3,0,3.03,25.36,
DB00749,287.353,4,3,3,2,3.39,62.32,
DB00750,220.311,5,1,2,2,1.87,41.13,
DB00751,249.31,0,4,3,1,2.53,41.62,
DB00754,204.225,2,2,2,1,1.11,49.41,
DB00755,300.442,5,1,2,1,5.66,37.3,
DB00757,324.38,3,5,3,1,2.41,62.4,
DB00758,321.822,4,3,2,0,3.84,29.54,
DB00764,427.361,2,4,4,2,2.81,74.6,
DB00768,337.412,5,3,4,1,3.99,49.77,
DB00770,354.487,13,1,5,3,3.04,94.83,
DB00772,330.358,11,0,2,0,2.67,71.06,
DB00774,331.292,2,2,5,3,0.44,118.36,
DB00775,440.597,13,2,6,3,1.78,104.73,
DB00776,252.268,0,3,2,1,1.76,63.4,
DB00777,340.482,5,3,3,0,4.53,23.55,
DB00779,232.235,2,2,5,1,0.95,70.5,
DB00782,368.489,7,3,1,0,2.66,35.53,
DB00783,272.382,0,4,2,2,3.57,40.46,
DB00784,241.285,3,2,3,2,4.58,49.33,
DB00788,230.259,3,2,3,1,3.29,46.53,
DB00790,368.468,9,2,5,2,0.56,95.94,
DB00791,252.098,5,1,3,2,0.79,61.44,
DB00792,255.358,6,2,3,0,3.05,19.37,
DB00794,218.252,2,2,2,2,0.62,58.2,
DB00795,398.393,5,3,8,3,2.92,141.31,
DB00797,160.216,2,2,2,1,2.05,24.39,
DB00799,351.462,5,3,2,0,5.15,39.19,
DB00800,305.756,1,3,4,4,2.39,72.72,
DB00801,352.738,3,3,2,0,3.52,32.67,
DB00802,416.517,9,3,6,0,2.2,81.05,
DB00804,309.487,8,2,2,0,5.82,29.54,
DB00805,298.383,5,3,5,1,2.15,50.28,
DB00806,278.307,5,2,4,0,0.08,75.51,
DB00807,294.389,10,1,4,1,2.97,64.79,
DB00808,365.835,3,3,4,2,2.52,92.5,
DB00809,284.353,6,2,3,1,1.42,53.43,
DB00810,311.461,5,4,2,1,4.28,23.47,
DB00812,308.374,5,3,2,0,2.81,40.62,
DB00813,336.471,6,3,2,0,4.12,23.55,
DB00814,351.401,2,3,5,2,2.28,99.6,
DB00815,288.379,12,0,3,0,3.86,66.43,
