SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
OC(CCC1=CC=CC=C1)CC(O)C=CC1=CC=CC=C1,282.41,7,2,2,2,3.635,40.46,Inactive
COC(CCC(C)=CCC1=C(O)C=CC(C(=O)C=CC2=CC=C(O)C=C2)=C1O)OC,412.52,10,2,6,3,4.662,96.22,Inactive
CC(=O)NC1C(N)CC(=CC1N)C(O)=O,213.27,2,1,6,6,-2.026,118.44,Inactive
CCCN(CCC)C(=O)N1CC(N)C(C1)C(O)=O,257.38,5,1,6,3,0.16,86.87,Inactive
CC(=O)NC1C(OC(=CC1N(CCCC(=O)N1CCOCC1)C(N)=N)C(O)=O)C(O)C(O)CO,487.58,11,2,14,8,-3.385,218.97,Inactive
CC(C)=CCC(O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,288.32,3,2,5,3,2.394,94.83,Inactive
CC(=O)NC(C(O)C(O)CO)C1OC(O)(CC1O)C(O)=O,309.31,6,1,10,7,-3.389,176.78,Inactive
CC(C)C(=O)OC(CC=C(C)C)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,358.42,6,2,6,2,3.903,100.9,Inactive
CC(C)=CCC(OC(=O)CC(C)(C)O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,388.45,7,2,7,3,2.932,121.13,Inactive
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,397.46,4,4,7,4,2.419,114.37,Inactive
CC(C)=CCC(OC(C)=O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,330.36,5,2,6,2,2.773,100.9,Inactive
COC1=CC=C(C(=O)C=CC2=CC=C(O)C=C2)C(O)=C1CC=C(C)C,338.43,6,2,4,2,5.007,66.76,Inactive
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(=O)CCC)C(O)=O,417.56,10,2,8,4,1.468,121.96,Inactive
CC1COCC(C)N1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1,413.46,3,4,8,4,2.583,123.6,Inactive
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCCC3)=C2O1,353.4,3,4,6,3,2.869,94.14,Inactive
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)C1,383.43,3,4,7,4,2.358,114.37,Inactive
CC(C)N(CCCN)C(=O)N1CC(N)C(C1)C(O)=O,272.4,5,1,7,5,-1.625,112.89,Inactive
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCC(CC4=CC=CC=C4)CC3)=C2O1,457.56,5,5,6,3,5.065,94.14,Inactive
CC(C)=CCC(OC(=O)C=C(C)C)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,370.43,6,2,6,2,4.32,100.9,Inactive
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCN(CC4=CC=CC=C4)CC3)=C2O1,458.55,5,5,7,3,3.949,97.38,Inactive
OCC1CCCN1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,383.43,4,4,7,4,2.358,114.37,Inactive
CC(C)(C)OC(=O)N1CC(N)C(C1)C(O)=O,230.3,3,1,6,3,-0.212,92.86,Inactive
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCOCC3)=C2O1,369.4,3,4,7,3,2.096,103.37,Inactive
