ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
93,370.43,6,2,2,6,4.32,100.9,0.164790583,-0.298791266,2.3851,-0.33626,-0.06285,0.27341,47300,4.325138859,0
94,458.55,5,5,3,7,3.949,97.38,0.146157593,-0.136789655,3.7347,-0.32834,-0.03341,0.29493,48540,4.313900228,0
95,383.43,4,4,4,7,2.358,114.37,0.154204583,-0.271679531,1.3308,-0.32761,-0.0268,0.30081,49710,4.303556237,0
96,230.3,3,1,3,6,-0.212,92.86,0.169809697,-0.287519118,1.8131,-0.36562,0.02961,0.39523,50000,4.301029996,0
97,369.4,3,4,3,7,2.096,103.37,0.158434244,-0.263184454,1.9958,-0.33227,-0.03523,0.29704,50490,4.296794629,0
98,381.46,3,4,3,6,3.644,94.14,0.15410112,-0.229109902,2.7721,-0.33006,-0.03472,0.29534,52470,4.280088936,0
99,398.45,3,4,4,8,2.098,117.61,0.1561586,-0.254014593,6.8786,-0.33382,-0.03556,0.29826,53820,4.269056307,0
100,324.38,6,2,4,9,-0.617,140.57,0.147683548,-0.168131127,4.7806,-0.37806,-0.02631,0.35175,56000,4.251811973,0
101,383.43,3,4,4,7,3.058,114.37,0.157856375,-0.289717616,7.4457,-0.33413,-0.0354,0.29873,62870,4.20155654,0
102,272.32,3,2,2,4,3.496,74.6,0.159626629,-0.18833164,1.4008,-0.33657,-0.06283,0.27374,63400,4.197910742,0
103,399.43,3,4,5,8,2.091,134.6,0.153550367,-0.339845618,3.7054,-0.32857,-0.03021,0.29836,63630,4.196338077,0
104,401.4,3,4,5,9,1.416,143.83,0.170041319,-0.394526698,3.4954,-0.33163,-0.02411,0.30752,63950,4.194159451,0
105,413.46,4,4,5,8,2.151,134.6,0.158178173,-0.370722741,4.7743,-0.33296,-0.03577,0.29719,64210,4.19239733,0
106,383.43,3,4,4,7,2.358,114.37,0.147530542,-0.277773069,4.8364,-0.32675,-0.02847,0.29828,68220,4.166088285,0
107,376.41,10,1,7,11,-3.015,185.65,0.175804714,-0.629702375,5.785,-0.35141,-0.01278,0.33863,70000,4.15490196,0
108,390.44,11,1,7,11,-2.559,185.65,0.170389173,-0.63457008,4.1471,-0.35301,-0.01581,0.3372,80000,4.096910013,0
109,222.41,7,0,1,1,4.761,20.23,0.11455861,-0.10601654,1.9595,-0.34099,0.03408,0.37507,81400,4.089375595,0
110,385.4,3,4,4,8,1.828,123.6,0.156669087,-0.320898853,3.9667,-0.33064,-0.03018,0.30046,81870,4.08687521,0
111,381.46,4,4,3,6,2.686,94.14,0.15200496,-0.227643854,6.0944,-0.3339,-0.03409,0.29981,83700,4.077274542,0
112,406.56,9,2,2,4,6.834,66.76,0.138618932,-0.165724316,5.267,-0.33112,-0.02944,0.30168,85900,4.066006836,0
113,623.77,12,5,3,10,4.536,144.53,0.152196366,-9.74E-02,6.0399,-0.3433,-0.00569,0.33761,87000,4.060480747,0
114,383.43,3,4,4,7,1.841,114.37,0.1509585,-0.276790334,3.1259,-0.33513,-0.02664,0.30849,91540,4.038389092,0
115,326.45,6,1,4,8,-0.591,115.97,0.164467,-0.227246487,4.2614,-0.35425,0.00808,0.36233,96000,4.017728767,0
